RACE_NHANES_AFA_AGE	SEX_NHANES_AFA_AGE	AGE_YEAR_NHANES_AFA_AGE	MEAN_NHANES_AFA_AGE	SD_NHANES_AFA_AGE	RACE_NHANES_AMA_AGE	SEX_NHANES_AMA_AGE	AGE_YEAR_NHANES_AMA_AGE	MEAN_NHANES_AMA_AGE	SD_NHANES_AMA_AGE	RACE_NHANES_BMI_AGE	SEX_NHANES_BMI_AGE	AGE_YEAR_NHANES_BMI_AGE	MEAN_NHANES_BMI_AGE	SD_NHANES_BMI_AGE	RACE_NHANES_HT_AGE	SEX_NHANES_HT_AGE	AGE_YEAR_NHANES_HT_AGE	MEAN_NHANES_HT_AGE	SD_NHANES_HT_AGE	RACE_NHANES_SSSF_AGE	SEX_NHANES_SSSF_AGE	AGE_YEAR_NHANES_SSSF_AGE	MEAN_NHANES_SSSF_AGE	SD_NHANES_SSSF_AGE	RACE_NHANES_TSF_AGE	SEX_NHANES_TSF_AGE	AGE_YEAR_NHANES_TSF_AGE	MEAN_NHANES_TSF_AGE	SD_NHANES_TSF_AGE	RACE_NHANES_UAA_AGE	SEX_NHANES_UAA_AGE	AGE_YEAR_NHANES_UAA_AGE	MEAN_NHANES_UAA_AGE	SD_NHANES_UAA_AGE	RACE_NHANES_UAC_AGE	SEX_NHANES_UAC_AGE	AGE_YEAR_NHANES_UAC_AGE	MEAN_NHANES_UAC_AGE	SD_NHANES_UAC_AGE	RACE_NHANES_WT_AGE	SEX_NHANES_WT_AGE	AGE_YEAR_NHANES_WT_AGE	MEAN_NHANES_WT_AGE	SD_NHANES_WT_AGE	RACE_NHANES_UC_AGE	SEX_NHANES_UC_AGE	AGE_YEAR_NHANES_UC_AGE	MEAN_NHANES_UC_AGE	SD_NHANES_UC_AGE	SEX_NHANES_UC_AGE2	AGE_MO_NHANES_UC_AGE	L_NHANES_UC	M_NHANES_UC	S_NHANES_UC	RACE_NHANES_WT_FOR_HT1	SEX_NHANES_WT_FOR_HT1	HEIGHT_NHANES_WT_FOR_HT1	MEAN_NHANES_WT_FOR_HT1	SD_NHANES_WT_FOR_HT1	RACE_NHANES_WT_FOR_HT2	SEX_NHANES_WT_FOR_HT2	HEIGHT_NHANES_WT_FOR_HT2	MEAN_NHANES_WT_FOR_HT2	SD_NHANES_WT_FOR_HT2	RACE_NHANES_WT_FOR_HT3	SEX_NHANES_WT_FOR_HT3	HEIGHT_NHANES_WT_FOR_HT3	MEAN_NHANES_WT_FOR_HT3	SD_NHANES_WT_FOR_HT3
2	1	1	7.6	2.2	2	1	1	13.1	2.3	2	1	1	17.3	2.6	2	1	1	82.5	5	2	1	1	6.3	1.9	2	1	1	10.5	2.8	2	1	1	20.7	3.2	2	1	1	16.1	1.2	2	1	1	11.8	1.7	1	1	2	47.4	2.9	1	60	-2.962692	52.31324	0.080035	1	1	84	12.3	1.2	1	1	150	41.2	4.9	1	1	156	64.1	12.3
2	1	2	7.5	2.3	2	1	2	14.1	3.5	2	1	2	16.2	1.3	2	1	2	91.7	4.2	2	1	2	5.8	2	2	1	2	10.1	2.8	2	1	2	21.7	4.4	2	1	2	16.4	1.5	2	1	2	13.6	1.7	1	1	3	49.1	3.2	1	61	-2.97212	52.47004	8.06E-02	1	1	85	12.3	1.2	1	1	151	41.2	4.9	1	1	157	64.1	12.3
2	1	3	7.8	2.4	2	1	3	15.2	3.2	2	1	3	16	1.3	2	1	3	99.1	4.5	2	1	3	5.5	1.8	2	1	3	10.1	2.7	2	1	3	22.9	4.3	2	1	3	16.9	1.5	2	1	3	15.7	2	1	1	4	50.3	3.6	1	62	-2.981387	52.62695	8.11E-02	1	1	86	12.3	1.2	1	1	152	41.2	4.9	1	1	158	64.1	12.3
2	1	4	7.6	2.5	2	1	4	16.3	2.7	2	1	4	15.8	1.4	2	1	4	105.7	4.8	2	1	4	5.3	2	2	1	4	9.6	2.7	2	1	4	23.8	3.9	2	1	4	17.3	1.4	2	1	4	17.7	2.4	1	1	19	78	12.6	1	63	-2.990492	52.78398	8.17E-02	1	1	87	12.8	1	1	1	153	43.7	5.5	1	1	159	64.2	14.2
2	1	5	7.6	3	2	1	5	17.6	3.9	2	1	5	15.6	1.5	2	1	5	112.3	5.1	2	1	5	5.2	2.3	2	1	5	9.3	3	2	1	5	25.3	5.7	2	1	5	17.7	1.8	2	1	5	19.8	2.9	1	1	20	87.1	15.7	1	64	-2.999436	52.94113	8.23E-02	1	1	88	12.8	1	1	1	154	43.7	5.5	1	1	160	64.2	14.2
2	1	6	8	4	2	1	6	19	3.8	2	1	6	15.8	1.8	2	1	6	119.1	5.4	2	1	6	5.6	3.3	2	1	6	9.3	3.6	2	1	6	27	6.7	2	1	6	18.3	2.1	2	1	6	22.5	3.7	1	1	21	87.1	15.7	1	65	-3.00822	53.09841	8.28E-02	1	1	89	12.8	1	1	1	155	43.7	5.5	1	1	161	64.2	14.2
2	1	7	8.6	4.1	2	1	7	20.8	4.2	2	1	7	16.1	1.8	2	1	7	125.2	5.6	2	1	7	5.9	3.4	2	1	7	9.6	4	2	1	7	29.4	6.4	2	1	7	19.1	2	2	1	7	25.3	4.2	1	1	22	87.1	15.7	1	66	-3.016844	53.25583	8.34E-02	1	1	90	13.5	1.3	1	1	156	47.5	8.9	1	1	162	67.3	10.9
2	1	8	9.3	5	2	1	8	22.1	4.4	2	1	8	16.4	2.2	2	1	8	129.5	6.2	2	1	8	6	3.9	2	1	8	9.9	4.3	2	1	8	31.3	8	2	1	8	19.7	2.3	2	1	8	27.6	5.3	1	1	23	87.1	15.7	1	67	-3.025309	53.4134	8.39E-02	1	1	91	13.5	1.3	1	1	157	47.5	8.9	1	1	163	67.3	10.9
2	1	9	11	6.5	2	1	9	24.4	5.1	2	1	9	17	2.5	2	1	9	135.9	5.8	2	1	9	7.1	5.1	2	1	9	11.1	5.3	2	1	9	35.4	9.9	2	1	9	20.9	2.8	2	1	9	31.7	6.5	1	1	24	87.1	15.7	1	68	-3.033613	53.57113	8.45E-02	1	1	92	13.5	1.3	1	1	158	47.5	8.9	1	1	164	67.3	10.9
2	1	10	12.5	7.2	2	1	10	26.6	6.1	2	1	10	17.7	2.8	2	1	10	140.9	6.7	2	1	10	7.7	5.4	2	1	10	12	5.7	2	1	10	39.1	11.3	2	1	10	22	3	2	1	10	35.5	7.7	1	1	25	87.1	15.7	1	69	-3.041757	53.72902	8.50E-02	1	1	93	14.3	1.2	1	1	159	47.9	5.6	1	1	165	70.6	13.6
