RACE_NHANES_AFA_AGE	SEX_NHANES_AFA_AGE	AGE_YEAR_NHANES_AFA_AGE	MEAN_NHANES_AFA_AGE	SD_NHANES_AFA_AGE	SEX_NHANES_AFA_AGE2	AGE_MONTHS_NHANES_AFA_AGE	L_NHANES_AFA	M_NHANES_AFA	S_NHANES_AFA	RACE_NHANES_AMA_AGE	SEX_NHANES_AMA_AGE	AGE_YEAR_NHANES_AMA_AGE	MEAN_NHANES_AMA_AGE	SD_NHANES_AMA_AGE	SEX_NHANES_AMA_AGE2	AGE_MONTHS_NHANES_AMA_AGE	L_NHANES_AMA	M_NHANES_AMA	S_NHANES_AMA	RACE_NHANES_BMI_AGE	SEX_NHANES_BMI_AGE	AGE_YEAR_NHANES_BMI_AGE	MEAN_NHANES_BMI_AGE	SD_NHANES_BMI_AGE	RACE_NHANES_HT_AGE	SEX_NHANES_HT_AGE	AGE_YEAR_NHANES_HT_AGE	MEAN_NHANES_HT_AGE	SD_NHANES_HT_AGE	RACE_NHANES_SSSF_AGE	SEX_NHANES_SSSF_AGE	AGE_YEAR_NHANES_SSSF_AGE	MEAN_NHANES_SSSF_AGE	SD_NHANES_SSSF_AGE	SEX_NHANES_SSSF_AGE2	AGE_MONTHS_NHANES_SSSF_AGE2	L_NHANES_SSSF_AGE	M_NHANES_SSSF_AGE	S_NHANES_SSSF_AGE	RACE_NHANES_TSF_AGE	SEX_NHANES_TSF_AGE	AGE_YEAR_NHANES_TSF_AGE	MEAN_NHANES_TSF_AGE	SD_NHANES_TSF_AGE	SEX_NHANES_TSF_AGE2	AGE_MONTHS_NHANES_TSF_AGE2	L_NHANES_TSF_AGE	M_NHANES_TSF_AGE	S_NHANES_TSF_AGE	RACE_NHANES_UAA_AGE	SEX_NHANES_UAA_AGE	AGE_YEAR_NHANES_UAA_AGE	MEAN_NHANES_UAA_AGE	SD_NHANES_UAA_AGE	RACE_NHANES_UAC_AGE	SEX_NHANES_UAC_AGE	AGE_YEAR_NHANES_UAC_AGE	MEAN_NHANES_UAC_AGE	SD_NHANES_UAC_AGE	SEX_NHANES_UAC_AGE2	AGE_MONTHS_NHANES_UAC_AGE	L_NHANES_UAC	M_NHANES_UAC	S_NHANES_UAC	RACE_NHANES_WT_AGE	SEX_NHANES_WT_AGE	AGE_YEAR_NHANES_WT_AGE	MEAN_NHANES_WT_AGE	SD_NHANES_WT_AGE	RACE_NHANES_UC_AGE	SEX_NHANES_UC_AGE	AGE_YEAR_NHANES_UC_AGE	MEAN_NHANES_UC_AGE	SD_NHANES_UC_AGE	SEX_NHANES_UC_AGE2	AGE_MO_NHANES_UC_AGE	L_NHANES_UC	M_NHANES_UC	S_NHANES_UC	RACE_NHANES_WT_FOR_HT1	SEX_NHANES_WT_FOR_HT1	HEIGHT_NHANES_WT_FOR_HT1	MEAN_NHANES_WT_FOR_HT1	SD_NHANES_WT_FOR_HT1	RACE_NHANES_WT_FOR_HT2	SEX_NHANES_WT_FOR_HT2	HEIGHT_NHANES_WT_FOR_HT2	MEAN_NHANES_WT_FOR_HT2	SD_NHANES_WT_FOR_HT2	RACE_NHANES_WT_FOR_HT3	SEX_NHANES_WT_FOR_HT3	HEIGHT_NHANES_WT_FOR_HT3	MEAN_NHANES_WT_FOR_HT3	SD_NHANES_WT_FOR_HT3
2	1	20	17.3	10.5	1	12	-0.00642336	7.145118093	0.271359348	2	1	20	50.5	11.4	1	12	0.103520772	12.71795022	0.158699898	2	1	1	17.3	2.6	2	1	1	82.5	5	2	1	20	13.5	7.5	1	18	-0.3827	5.8414	0.2767	2	1	20	11.6	6.3	1	18	-0.0982	9.7466	0.2464	2	1	1	20.7	3.2	2	1	20	31.1	3.4	1	12	-1.265379217	15.82799614	0.060737009	2	1	1	11.8	1.7	1	1	2	47.4	2.9	1	60	-2.962692	52.31324	0.080035	1	1	84	12.3	1.2	1	1	150	41.2	4.9	1	1	156	64.1	12.3
2	1	21	17.3	10.5	1	13	-0.01386999	7.12780174	0.272585236	2	1	21	50.5	11.4	1	13	0.099930841	12.81312785	0.157811456	2	1	2	16.2	1.3	2	1	2	91.7	4.2	2	1	21	13.5	7.5	1	19	-0.3827	5.8414	0.2767	2	1	21	11.6	6.3	1	19	-0.0982	9.7466	0.2464	2	1	2	21.7	4.4	2	1	21	31.1	3.4	1	13	-1.278326456	15.85998498	0.061083079	2	1	2	13.6	1.7	1	1	3	49.1	3.2	1	61	-2.97212	52.47004	8.06E-02	1	1	85	12.3	1.2	1	1	151	41.2	4.9	1	1	157	64.1	12.3
2	1	22	17.3	10.5	1	14	-0.021315512	7.110397803	0.273816989	2	1	22	50.5	11.4	1	14	0.096358331	12.90847697	0.156934474	2	1	3	16	1.3	2	1	3	99.1	4.5	2	1	22	13.5	7.5	1	20	-0.3827	5.8414	0.2767	2	1	22	11.6	6.3	1	20	-0.0982	9.7466	0.2464	2	1	3	22.9	4.3	2	1	22	31.1	3.4	1	14	-1.291273999	15.89193154	0.061431187	2	1	3	15.7	2	1	1	4	50.3	3.6	1	62	-2.981387	52.62695	8.11E-02	1	1	86	12.3	1.2	1	1	152	41.2	4.9	1	1	158	64.1	12.3
2	1	23	17.3	10.5	1	15	-0.028758794	7.092816461	0.275054972	2	1	23	50.5	11.4	1	15	0.09280565	13.0039674	0.156070254	2	1	4	15.8	1.4	2	1	4	105.7	4.8	2	1	23	13.5	7.5	1	21	-0.3827	5.8414	0.2767	2	1	23	11.6	6.3	1	21	-0.0982	9.7466	0.2464	2	1	4	23.8	3.9	2	1	23	31.1	3.4	1	15	-1.304222157	15.92379249	0.061781414	2	1	4	17.7	2.4	1	1	19	78	12.6	1	63	-2.990492	52.78398	8.17E-02	1	1	87	12.8	1	1	1	153	43.7	5.5	1	1	159	64.2	14.2
2	1	24	17.3	10.5	1	16	-0.036198701	7.074967892	0.276299555	2	1	24	50.5	11.4	1	16	0.089275205	13.09956893	0.15522007	2	1	5	15.6	1.5	2	1	5	112.3	5.1	2	1	24	13.5	7.5	1	22	-0.3827	5.8414	0.2767	2	1	24	11.6	6.3	1	22	-0.0982	9.7466	0.2464	2	1	5	25.3	5.7	2	1	24	31.1	3.4	1	16	-1.317171242	15.95552451	0.062133841	2	1	5	19.8	2.9	1	1	20	87.1	15.7	1	64	-2.999436	52.94113	8.23E-02	1	1	88	12.8	1	1	1	154	43.7	5.5	1	1	160	64.2	14.2
2	1	25	19.2	11.1	1	17	-0.0436341	7.056762273	0.277551118	2	1	25	53.8	11.7	1	17	0.085769405	13.19525139	0.154385167	2	1	6	15.8	1.8	2	1	6	119.1	5.4	2	1	25	15.6	8	1	23	-0.3827	5.8414	0.2767	2	1	25	12.5	6.5	1	23	-0.0982	9.7466	0.2464	2	1	6	27	6.7	2	1	25	32.1	3.4	1	17	-1.330121565	15.98708428	0.062488551	2	1	6	22.5	3.7	1	1	21	87.1	15.7	1	65	-3.00822	53.09841	8.28E-02	1	1	89	12.8	1	1	1	155	43.7	5.5	1	1	161	64.2	14.2
2	1	26	19.2	11.1	1	18	-0.051063858	7.038109783	0.278810044	2	1	26	53.8	11.7	1	18	0.082290657	13.29098459	0.153566764	2	1	7	16.1	1.8	2	1	7	125.2	5.6	2	1	26	15.6	8	1	24	-0.4078	5.7779	0.2748	2	1	26	12.5	6.5	1	24	-0.1065	9.6551	0.2495	2	1	7	29.4	6.4	2	1	26	32.1	3.4	1	18	-1.343073437	16.01842848	0.06284563	2	1	7	25.3	4.2	1	1	22	87.1	15.7	1	66	-3.016844	53.25583	8.34E-02	1	1	90	13.5	1.3	1	1	156	47.5	8.9	1	1	162	67.3	10.9
2	1	27	19.2	11.1	1	19	-0.058486842	7.018920599	0.280076722	2	1	27	53.8	11.7	1	19	0.078841369	13.38673832	0.152766053	2	1	8	16.4	2.2	2	1	8	129.5	6.2	2	1	27	15.6	8	1	25	-0.4078	5.7779	0.2748	2	1	27	12.5	6.5	1	25	-0.1065	9.6551	0.2495	2	1	8	31.3	8	2	1	27	32.1	3.4	1	19	-1.35602717	16.04951378	0.063205165	2	1	8	27.6	5.3	1	1	23	87.1	15.7	1	67	-3.025309	53.4134	8.39E-02	1	1	91	13.5	1.3	1	1	157	47.5	8.9	1	1	163	67.3	10.9
2	1	28	19.2	11.1	1	20	-0.065901917	6.999104899	0.281351552	2	1	28	53.8	11.7	1	20	0.075423948	13.48248242	0.151984203	2	1	9	17	2.5	2	1	9	135.9	5.8	2	1	28	15.6	8	1	26	-0.4078	5.7779	0.2748	2	1	28	12.5	6.5	1	26	-0.1065	9.6551	0.2495	2	1	9	35.4	9.9	2	1	28	32.1	3.4	1	20	-1.368983075	16.08029687	0.063567245	2	1	9	31.7	6.5	1	1	24	87.1	15.7	1	68	-3.033613	53.57113	8.45E-02	1	1	92	13.5	1.3	1	1	158	47.5	8.9	1	1	164	67.3	10.9
2	1	29	19.2	11.1	1	21	-0.073307951	6.978572862	0.282634936	2	1	29	53.8	11.7	1	21	0.072040804	13.57818668	0.151222361	2	1	10	17.7	2.8	2	1	10	140.9	6.7	2	1	29	15.6	8	1	27	-0.4078	5.7779	0.2748	2	1	29	12.5	6.5	1	27	-0.1065	9.6551	0.2495	2	1	10	39.1	11.3	2	1	29	32.1	3.4	1	21	-1.381941463	16.11073441	0.06393196	2	1	10	35.5	7.7	1	1	25	87.1	15.7	1	69	-3.041757	53.72902	8.50E-02	1	1	93	14.3	1.2	1	1	159	47.9	5.6	1	1	165	70.6	13.6
