SEX_WHO_BMI_AGE	AGE_MO_WHO_BMI_AGE	L_WHO_BMI_AGE	M_WHO_BMI_AGE	S_WHO_BMI_AGE	SEX_WHO_HC_AGE	AGE_MO_WHO_HC_AGE	L_WHO_HC_AGE	M_WHO_HC_AGE	S_WHO_HC_AGE	SEX_WHO_HT_AGE	AGE_MO_WHO_HT_AGE	L_WHO_HT_AGE	M_WHO_HT_AGE	S_WHO_HT_AGE	SEX_WHO_SSF_AGE	AGE_MO_WHO_SSF_AGE	L_WHO_SSF_AGE	M_WHO_SSF_AGE	S_WHO_SSF_AGE	SEX_WHO_TSF_AGE	AGE_MO_WHO_TSF_AGE	L_WHO_TSF_AGE	M_WHO_TSF_AGE	S_WHO_TSF_AGE	SEX_WHO_UAC_AGE	AGE_MO_WHO_UAC_AGE	L_WHO_UAC_AGE	M_WHO_UAC_AGE	S_WHO_UAC_AGE	SEX_WHO_WT_AGE	AGE_MO_WHO_WT_AGE	L_WHO_WT_AGE	M_WHO_WT_AGE	S_WHO_WT_AGE	SEX_WHO_WT_FOR_HT	HEIGHT_WHO_WT_FOR_HT	L_WHO_WT_FOR_HT	M_WHO_WT_FOR_HT	S_WHO_WT_FOR_HT
1	0	-0.3053	13.4069	0.0956	1	0	1	34.4618	0.03686	1	0	1	49.8842	0.03795	1	3	-0.3033	7.6899	0.1702	1	3	0.0027	9.7639	0.16618	1	3	0.3928	13.4817	0.07475	1	0	0.3487	3.3464	0.14602	1	45	-0.3521	2.441	0.09182
1	1	0.2708	14.9441	0.09027	1	1	1	37.2759	0.03133	1	1	1	54.7244	0.03557	1	4	-0.3278	7.4968	0.17097	1	4	-0.0165	9.584	0.17264	1	4	0.3475	13.8097	0.07523	1	1	0.2297	4.4709	0.13395	1	45.1	-0.3521	2.4577	0.09176
1	2	0.1118	16.3195	0.08677	1	2	1	39.1285	0.02997	1	2	1	58.4249	0.03424	1	5	-0.3503	7.3207	0.17167	1	5	-0.0326	9.3885	0.17824	1	5	0.3092	14.0585	0.07566	1	2	0.197	5.5675	0.12385	1	45.2	-0.3521	2.4744	0.0917
1	3	0.0068	16.8987	0.08495	1	3	1	40.5135	0.02918	1	3	1	61.4292	0.03328	1	6	-0.3712	7.1588	0.17232	1	6	-0.0466	9.1729	0.18304	1	6	0.2755	14.2389	0.07601	1	3	0.1738	6.3762	0.11727	1	45.3	-0.3521	2.4911	0.09164
1	4	-0.0727	17.1579	0.08378	1	4	1	41.6317	0.02868	1	4	1	63.886	0.03257	1	7	-0.3909	7.0104	0.17293	1	7	-0.059	8.9535	0.18685	1	7	0.2453	14.3678	0.07629	1	4	0.1553	7.0023	0.11316	1	45.4	-0.3521	2.5078	0.09159
1	5	-0.137	17.2919	0.08296	1	5	1	42.5576	0.02837	1	5	1	65.9026	0.03204	1	8	-0.4097	6.8753	0.17352	1	8	-0.0703	8.7435	0.18968	1	8	0.2179	14.4591	0.0765	1	5	0.1395	7.5105	0.1108	1	45.5	-0.3521	2.5244	0.09153
1	6	-0.1913	17.3422	0.08234	1	6	1	43.3306	0.02817	1	6	1	67.6236	0.03165	1	9	-0.4276	6.753	0.17408	1	9	-0.0806	8.5518	0.19166	1	9	0.1925	14.5245	0.07665	1	6	0.1257	7.934	0.10958	1	45.6	-0.3521	2.5411	0.09147
1	7	-0.2385	17.3288	0.08183	1	7	1	43.9803	0.02804	1	7	1	69.1645	0.03139	1	10	-0.4449	6.6428	0.17462	1	10	-0.0901	8.3812	0.193	1	10	0.169	14.5733	0.07676	1	7	0.1134	8.297	0.10902	1	45.7	-0.3521	2.5578	0.09141
1	8	-0.2802	17.2647	0.0814	1	8	1	44.53	0.02796	1	8	1	70.5994	0.03124	1	11	-0.4616	6.5442	0.17514	1	11	-0.099	8.2323	0.19389	1	11	0.1469	14.6119	0.07683	1	8	0.1021	8.6151	0.10882	1	45.8	-0.3521	2.5744	0.09135
1	9	-0.3176	17.1662	0.08102	1	9	1	44.9998	0.02792	1	9	1	71.9687	0.03117	1	12	-0.4777	6.4562	0.17564	1	12	-0.1073	8.1041	0.19453	1	12	0.1261	14.6449	0.07689	1	9	0.0917	8.9014	0.10881	1	45.9	-0.3521	2.5911	0.09129
